Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto
1990-01-01,280.81,333.27,295.67,306.22,250.0,95.15,285.66,275.79,282.04,227.09
1990-01-02,281.83,346.84,295.28,306.07,250.7,95.01,285.78,275.85,282.08,227.12
1990-01-03,282.85,0.61,294.69,305.88,251.41,94.88,285.89,275.91,282.11,227.15
1990-01-04,283.87,14.59,293.91,305.64,252.11,94.75,286.01,275.97,282.15,227.17
1990-01-05,284.89,28.77,292.95,305.37,252.82,94.62,286.13,276.02,282.19,227.2
1990-01-06,285.91,43.11,291.85,305.05,253.53,94.49,286.25,276.08,282.23,227.22
1990-01-07,286.93,57.57,290.63,304.69,254.23,94.36,286.37,276.14,282.27,227.25
1990-01-08,287.95,72.06,289.33,304.3,254.94,94.23,286.49,276.2,282.3,227.27
1990-01-09,288.97,86.49,287.99,303.87,255.65,94.1,286.61,276.26,282.34,227.3
1990-01-10,289.99,100.77,286.66,303.41,256.36,93.97,286.72,276.32,282.38,227.32
1990-01-11,291.0,114.8,285.38,302.91,257.07,93.85,286.84,276.38,282.42,227.34
1990-01-12,292.02,128.51,284.18,302.39,257.78,93.73,286.96,276.44,282.45,227.36
1990-01-13,293.04,141.86,283.09,301.84,258.49,93.6,287.08,276.5,282.49,227.39
1990-01-14,294.06,154.85,282.14,301.27,259.2,93.48,287.2,276.56,282.53,227.41
1990-01-15,295.08,167.5,281.34,300.69,259.91,93.37,287.31,276.61,282.57,227.43
1990-01-16,296.1,179.85,280.7,300.09,260.62,93.25,287.43,276.67,282.6,227.45
1990-01-17,297.11,191.97,280.22,299.48,261.33,93.14,287.55,276.73,282.64,227.47
1990-01-18,298.13,203.93,279.9,298.86,262.05,93.02,287.67,276.79,282.68,227.49
1990-01-19,299.15,215.8,279.73,298.24,262.76,92.91,287.78,276.84,282.71,227.51
1990-01-20,300.17,227.68,279.7,297.63,263.48,92.8,287.9,276.9,282.75,227.52
1990-01-21,301.19,239.63,279.81,297.03,264.19,92.7,288.02,276.96,282.79,227.54
1990-01-22,302.2,251.74,280.04,296.43,264.91,92.6,288.13,277.01,282.82,227.56
1990-01-23,303.22,264.04,280.39,295.86,265.62,92.49,288.25,277.07,282.86,227.57
1990-01-24,304.24,276.59,280.84,295.3,266.34,92.4,288.37,277.12,282.9,227.59
1990-01-25,305.26,289.42,281.39,294.77,267.06,92.3,288.48,277.18,282.93,227.6
1990-01-26,306.27,302.52,282.03,294.26,267.78,92.21,288.6,277.23,282.97,227.62
1990-01-27,307.29,315.9,282.74,293.78,268.5,92.11,288.71,277.29,283.0,227.63
1990-01-28,308.31,329.52,283.52,293.33,269.22,92.03,288.83,277.34,283.04,227.65
1990-01-29,309.32,343.34,284.37,292.92,269.93,91.94,288.94,277.39,283.07,227.66
1990-01-30,310.34,357.32,285.28,292.54,270.66,91.86,289.05,277.45,283.11,227.67
1990-01-31,311.35,11.42,286.24,292.2,271.38,91.78,289.17,277.5,283.14,227.68
1990-02-01,312.37,25.59,287.24,291.89,272.1,91.7,289.28,277.55,283.18,227.69
1990-02-02,313.38,39.79,288.3,291.63,272.82,91.63,289.39,277.6,283.21,227.7
1990-02-03,314.4,53.98,289.39,291.41,273.54,91.56,289.5,277.65,283.24,227.71
1990-02-04,315.41,68.12,290.52,291.23,274.26,91.49,289.61,277.71,283.28,227.72
1990-02-05,316.43,82.18,291.68,291.09,274.99,91.42,289.72,277.76,283.31,227.73
1990-02-06,317.44,96.11,292.88,290.99,275.71,91.36,289.83,277.81,283.34,227.74
